battery_id,cycle,policy,capacity_raw,SOH_raw,SOH_smooth_official_raw,chargetime_raw,IR_raw,Tavg_raw,prediction_test,C1,Q1,C2,initial_capacity,flag_capacity_local_outlier,capacity_local_robust_z,capacity_local_relative_deviation,flag_ir_nonpositive,capacity_clean,IR_clean,SOH_clean,SOH_relative_clean,SOH_trend_rlowess_7,SOH_trend_rlowess_11,SOH_trend_rlowess_15,flag_any_repair
1,1,3_6C-80PER_3_6C,1.0706892,1,1.00037710912435,13.34125,0.016742354,31.875010776449,0,3.6,80,3.6,1.0706892,0,0.674490759476595,0.000565343892020009,0,1.0706892,0.016742354,1,0.998869951082213,1.00000363131048,1.00013122434096,1.00071320056245,0
1,2,3_6C-80PER_3_6C,1.0706892,1,1.00070786181461,13.34125,0.016742354,31.875010776449,0,3.6,80,3.6,1.0706892,0,1.3415610130606,0.00113004891778667,0,1.0706892,0.016742354,1,0.998869951082213,1.00056789362762,1.00063573766758,1.0010659958283,0
1,3,3_6C-80PER_3_6C,1.0719005,1.00113132737306,1.0010304390854,13.4257766666667,0.016724309,31.9314903276634,0,3.6,80,3.6,1.0706892,0,0.223175182350433,0.0002810285392576,0,1.0719005,0.016724309,1.00113132737306,1,1.00113016944756,1.00113135764065,1.00141349570371,0
1,4,3_6C-80PER_3_6C,1.0725095,1.0017001198854,1.00156969921804,13.4251666666667,0.016681245,31.9326034757631,0,3.6,80,3.6,1.0706892,0,0.0223407956259173,2.58732272467865e-05,0,1.0725095,0.016681245,1.0017001198854,1.00056814974897,1.00168896423491,1.001618205488,1.0017547677525,0
1,5,3_6C-80PER_3_6C,1.073174,1.00232074816856,1.00218659158979,13.3414416666667,0.016661867,31.9593215588752,0,3.6,80,3.6,1.0706892,0,0.119407890491596,0.000122269121045404,0,1.073174,0.016661867,1.00232074816856,1.00118807669182,1.00219276928558,1.00209674681459,1.00209047248617,0
1,6,3_6C-80PER_3_6C,1.0735761,1.00269630066316,1.00264864911311,13.340835,0.016623382,31.9610618548094,0,3.6,80,3.6,1.0706892,0,0.00758738876202713,6.28735826047055e-06,0,1.0735761,0.016623382,1.00269630066316,1.00156320479373,1.00266950777608,1.00254970784079,1.0024225031587,0
1,7,3_6C-80PER_3_6C,1.0739917,1.00308446185877,1.00301900869085,13.3401983333333,0.016599579,31.900562096745,0,3.6,80,3.6,1.0706892,0,0.0244439397607447,1.54565967127596e-05,0,1.0739917,0.016599579,1.00308446185877,1.0019509273482,1.00302914403855,1.00289619011881,1.00275277402592,0
1,8,3_6C-80PER_3_6C,1.0743741,1.00344161498967,1.00327366709219,13.4254416666667,0.016576905,31.921667846855,0,3.6,80,3.6,1.0706892,0,0.326737367539746,0.000123016979554746,0,1.0743741,0.016576905,1.00344161498967,1.00230767687859,1.00327365864042,1.00320997998624,1.0030835652712,0
1,9,3_6C-80PER_3_6C,1.0744922,1.00355191777408,1.00349881179338,13.4251900000001,0.016588196,31.8700823200708,0,3.6,80,3.6,1.0706892,0,0.120888351194415,3.39706886005597e-05,0,1.0744922,0.016588196,1.00355191777408,1.00241785501546,1.00348471018191,1.00345922224512,1.00336380932802,0
1,10,3_6C-80PER_3_6C,1.0745373,1.00359404017524,1.09037046418326,13.4256333333333,0.016572181,31.8410526761062,0,3.6,80,3.6,1.0706892,0,0.329544957367379,9.25894218399836e-05,0,1.0745373,0.016572181,1.00359404017524,1.00245992981625,1.00359634957253,1.00364242778671,1.00359576239581,0
