BatteryId,Policy,LastObservedCycle,LastObservedSOH,SlopeLast50,ProjectedL80LocalLinear,ObservedEOL80,MeanChargeTime,PredictionTest
1,3_6C-80PER_3_6C,200,0.998653764323018,-8.113501710362275e-05,2651.4119940678056,False,13.4086513554808,0
2,3_6C-80PER_3_6C,150,0.995350591168364,-2.3341744765655996e-05,8516.580940692507,False,13.3700453282399,1
3,3_6C-80PER_3_6C,200,0.99523231164644,-1.8890816019058047e-05,10528.378954289929,False,13.3673534835601,0
4,80PER_3_6C,200,0.967948044187048,-0.00020468670127475646,1018.7872993364585,False,13.7314586052367,0
5,80PER_3_6C,150,0.996049414338924,-4.276572032805566e-05,4737.611238194417,False,13.6804953856609,1
6,80PER_3_6C,200,0.992999031853879,-5.061170998482365e-05,4027.1740266059555,False,14.828321327044,0
7,4_8C_80PER_4_8C,200,0.989379147758751,-0.00010187838246703792,2061.266116474872,False,12.9231478085242,0
8,4_8C_80PER_4_8C,200,0.98137636528723,-0.00016409350588708795,1306.6451952251768,False,13.2409229226557,0
9,4_8C_80PER_4_8C,150,0.988970060126946,-0.00012293806873520913,1688.6938204840744,False,13.1452157864793,1
10,5C_67PER_4C_NEWSTRUCTURE,150,0.997333230536718,-2.4727786835648742e-05,8121.789488378108,False,10.1554366633597,1
11,5_3C_54PER_4C_NEWSTRUCTURE,150,0.996811104366928,-2.5090139456057273e-05,7991.839087466599,False,10.1429989124294,1
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.994167588322084,-4.8281169138613835e-05,4222.84589031073,False,10.1973217061611,0
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.995225399616455,-4.170621624336955e-05,4879.587344325619,False,10.1874366906044,0
14,5_6C_19PER_4_6C_NEWSTRUCTURE,150,0.997617145540867,-2.558038723293558e-05,7869.375782662602,False,10.2384849761222,1
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.993553282473281,-5.639947342145312e-05,3632.8753182329697,False,10.1995672108021,0
16,3_7C_31PER_5_9C_NEWSTRUCTURE,150,0.971778946968389,-0.00019821308694672557,1017.9476882393001,False,10.8382723823823,1
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.996334456667591,-1.5381347862029164e-05,13034.988419202737,False,11.1726831852861,0
18,5C_67PER_4C_NEWSTRUCTURE,200,0.995046291132598,-3.538861432829496e-05,5711.41134157767,False,10.182849490125,0
19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.997354502037367,-2.1408253082215523e-05,9415.469696106851,False,10.2038060613359,0
20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.996036810488781,-3.072091656671718e-05,6573.8315318072855,False,11.2108420194987,0
21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.993320823224087,-4.935229636253431e-05,4115.237463024702,False,10.2959345772059,0
22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.996783116655199,-2.3956133385017894e-05,8411.137381920094,False,10.2544309470103,0
23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.993317781128631,-4.9025921342635905e-05,4141.397770801668,False,10.2880135787321,0
24,5_6C_36PER_4_3C_NEWSTRUCTURE,150,0.997589873366983,-2.98585909061467e-05,6763.937291360098,False,10.2485632672112,1
25,4_8C_80PER_4_8C_NEWSTRUCTURE,150,0.997459834024826,-2.138803972080232e-05,9375.803699838723,False,11.1423314253717,1
26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.994344142608725,-3.3341936439135e-05,6027.698437715843,False,10.156982147387,0
27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.993470751587295,-4.188022853750959e-05,4821.435039269828,False,10.2198757714701,0
28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.993482445334513,-4.1374307062728353e-05,4880.305495208865,False,10.2056660384171,0
29,5C_67PER_4C_NEWSTRUCTURE,200,0.995218754906443,-3.6846001521321507e-05,5497.289165179006,False,10.1844151334154,0
30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.971521106035042,-0.00015062067425398402,1337.7612201262536,False,10.8033723951577,0
31,5C_67PER_4C_NEWSTRUCTURE,200,0.995277553495104,-4.1737082884516264e-05,4883.908462177578,False,10.1645542677994,0
32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.99576891148089,-3.221844088534007e-05,6283.464106802942,False,10.1516542560729,0
33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.995258547168434,-3.909536443560892e-05,5197.257438186693,False,10.2456923677378,0
34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.994051590460674,-4.3991739273786576e-05,4618.979557408112,False,10.2173661484099,0
35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.960114030750495,-0.0002156355930079985,942.8347742561865,False,10.9003622808642,0
36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.995357534990308,-3.6871212079669134e-05,5501.2638359342645,False,10.1718277480371,0
37,5C_67PER_4C_NEWSTRUCTURE,200,0.994815396582459,-3.441070914216059e-05,5861.452414508857,False,10.1144099012732,0
38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.993827835036726,-3.943865337267696e-05,5112.23620144189,False,10.1409416436186,0
39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.994534412309474,-3.7215251248905485e-05,5427.740089997929,False,10.2255189026251,0
40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.993010874550068,-4.680669421996073e-05,4323.862341739424,False,10.1933407266812,0
41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.949732816271975,-3.664486348182706e-05,4286.264355826166,False,11.1030957823375,0
42,5C_67PER_4C_NEWSTRUCTURE,200,0.996301705503886,-2.619087070748758e-05,7692.8553734212355,False,10.1268713745261,0
43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.994722830183547,-3.2776521267418484e-05,6138.961819384609,False,10.1135283477634,0
44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.993874511377955,-4.6939012653437826e-05,4331.296529626242,False,10.275761475891,0
45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.996554122833245,-3.0827908006829524e-05,6579.387754548137,False,10.2448038980892,0
46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.996955200920384,-2.485182267452468e-05,8124.4904352255435,False,11.1688661019703,0
47,5C_67PER_4C_NEWSTRUCTURE,200,0.996557735057307,-3.3455943966056435e-05,6075.887788436136,False,10.1793261977671,0
48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.996913786313853,-2.3867686468494472e-05,8452.10767797738,False,10.1638524955626,0
49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.996944069210061,-2.861094965186552e-05,7080.016617186086,False,11.1468243490742,0
