BatteryId,Policy,AvailableLastCycle,LifetimePrefixCycle,TailWindow,SOH150,SlopeTail,InterceptTail,EstimatedT80,ExtrapolationMultiple,T80Status
1,3_6C-80PER_3_6C,200,150,40,1.00348000147942,-5.063126357490324e-05,1.0103024928200517,4153.609409904077,27.690729399360517,finite_extrapolation
2,3_6C-80PER_3_6C,150,150,40,0.995350591168364,-2.3283430599976557e-05,0.9987835230269415,8537.553011073102,56.91702007382068,finite_extrapolation
3,3_6C-80PER_3_6C,200,150,40,0.996237593096295,-1.856093547490214e-05,0.9990028389691129,10721.595322509576,71.47730215006385,finite_extrapolation
4,80PER_3_6C,200,150,40,0.977366685512464,-0.00019016191427075486,1.0056696689163864,1081.550265756956,7.210335105046373,finite_extrapolation
5,80PER_3_6C,150,150,40,0.996049414338924,-4.3378862305562137e-05,1.0026960623042487,4672.6919870892625,31.151279913928416,finite_extrapolation
6,80PER_3_6C,200,150,40,0.996289223474253,-3.358898014633967e-05,1.0012962069522642,5992.924050544601,39.952827003630674,finite_extrapolation
7,4_8C_80PER_4_8C,200,150,40,0.994602329866956,-6.867315176229809e-05,1.0051160203091338,2986.844422389588,19.91229614926392,finite_extrapolation
8,4_8C_80PER_4_8C,200,150,40,0.989748401481303,-0.0001329418349026392,1.0096741916293117,1577.1874352634584,10.51458290175639,finite_extrapolation
9,4_8C_80PER_4_8C,150,150,40,0.988970060126946,-0.0001308221815558567,1.0086747735427448,1595.102382952142,10.634015886347614,finite_extrapolation
10,5C_67PER_4C_NEWSTRUCTURE,150,150,40,0.997333230536718,-3.0688986632518925e-05,1.0016443280207665,6570.576292900411,43.80384195266941,finite_extrapolation
11,5_3C_54PER_4C_NEWSTRUCTURE,150,150,40,0.996811104366928,-2.9707215997453547e-05,1.0011445085568516,6770.897298962423,45.13931532641615,finite_extrapolation
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.996513777051594,-3.383778926635268e-05,1.0013806114865746,5951.352492369283,39.67568328246189,finite_extrapolation
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.997075645249115,-3.413221570172897e-05,1.0019745589877191,5917.417162504574,39.449447750030494,finite_extrapolation
14,5_6C_19PER_4_6C_NEWSTRUCTURE,150,150,40,0.997617145540867,-2.9084989555644506e-05,1.0017770794212952,6937.498775279307,46.24999183519538,finite_extrapolation
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.996160165334701,-4.710092020159434e-05,1.0031310470044938,4312.676825316418,28.751178835442786,finite_extrapolation
16,3_7C_31PER_5_9C_NEWSTRUCTURE,150,150,40,0.971778946968389,-0.00020215133342233108,1.0023060653308535,1000.7654261087615,6.671769507391743,finite_extrapolation
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,40,0.998413231999806,-1.9417630271986922e-05,1.0010977389977385,10356.451131313099,69.04300754208732,finite_extrapolation
18,5C_67PER_4C_NEWSTRUCTURE,200,150,40,0.996859217018129,-3.6531776541306565e-05,1.0023646384403255,5539.4141101107225,36.92942740073815,finite_extrapolation
19,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.998371392101536,-1.886351305647185e-05,1.0011535523178638,10663.631515278665,71.09087676852442,finite_extrapolation
20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,40,0.997507325816093,-2.890536809933316e-05,1.0018230674940205,6982.200219712007,46.54800146474672,finite_extrapolation
21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.995675224165399,-4.737839119849612e-05,1.0027122586511226,4278.580456686275,28.523869711241836,finite_extrapolation
22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.998009643964444,-2.3143038752739067e-05,1.0013369159116552,8699.675010820529,57.99783340547019,finite_extrapolation
23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.99579767001136,-4.440799698407782e-05,1.0024330781135256,4558.4825225534605,30.389883483689736,finite_extrapolation
24,5_6C_36PER_4_3C_NEWSTRUCTURE,150,150,40,0.997589873366983,-3.334423625130063e-05,1.0024325932049893,6070.992050300542,40.47328033533695,finite_extrapolation
25,4_8C_80PER_4_8C_NEWSTRUCTURE,150,150,40,0.997459834024826,-2.7236992981743934e-05,1.0013240169793847,7391.565475466603,49.277103169777355,finite_extrapolation
26,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.995946124179296,-3.37179781637329e-05,1.0010071190193415,5961.4226583593,39.74281772239533,finite_extrapolation
27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.995698655651178,-3.334925072650145e-05,1.000630810706528,6016.051525472321,40.107010169815474,finite_extrapolation
28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.995748858110306,-3.73097441752907e-05,1.0011402447188862,5391.091500758567,35.94061000505712,finite_extrapolation
29,5C_67PER_4C_NEWSTRUCTURE,200,150,40,0.997159190117805,-3.2217661712168736e-05,1.0019052826368215,6266.912988305452,41.77941992203635,finite_extrapolation
30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,150,40,0.978674398451871,-0.00014873875207852897,1.0010179366726326,1351.4832810114071,9.009888540076048,finite_extrapolation
31,5C_67PER_4C_NEWSTRUCTURE,200,150,40,0.997563762160854,-3.143483524224214e-05,1.0022515167498265,6433.99321775483,42.89328811836553,finite_extrapolation
32,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.99771931742831,-3.18248096708597e-05,1.0023117657047758,6357.0455816432395,42.3803038776216,finite_extrapolation
33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.997316160528421,-3.1766977108728733e-05,1.0020104587816532,6359.133829140637,42.39422552760425,finite_extrapolation
34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.996693417818699,-4.59782959785371e-05,1.0033346215031829,4422.404466622696,29.48269644415131,finite_extrapolation
35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,150,40,0.971081558489919,-0.00022371095581237975,1.0045770792720352,914.4705431575213,6.096470287716809,finite_extrapolation
36,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.997303466680991,-3.4448228424402914e-05,1.002502753262032,5878.466397957938,39.18977598638625,finite_extrapolation
37,5C_67PER_4C_NEWSTRUCTURE,200,150,40,0.996427094360384,-3.433034002099305e-05,1.0016935873094805,5875.082716516778,39.167218110111854,finite_extrapolation
38,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.995665512613668,-4.146187916600223e-05,1.001871105947355,4868.836386771505,32.45890924514337,finite_extrapolation
39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.996361092959855,-3.827889075311928e-05,1.0020467495418015,5278.2812032069405,35.18854135471294,finite_extrapolation
40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.995403188822076,-4.0852536092999685e-05,1.0014676891537257,4931.583407578173,32.87722271718782,finite_extrapolation
41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,40,0.951643245848128,-3.598016305346022e-05,0.9569504064821719,4362.137165664621,29.080914437764136,finite_extrapolation
42,5C_67PER_4C_NEWSTRUCTURE,200,150,40,0.997490809267383,-2.42527553074982e-05,1.0011371967369285,8293.375090241521,55.289167268276806,finite_extrapolation
43,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.996217632042891,-3.58646182610219e-05,1.0017351650356805,5624.90763368667,37.4993842245778,finite_extrapolation
44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.996375278650277,-3.942057011451515e-05,1.0022079474481091,5129.503375032457,34.19668916688305,finite_extrapolation
45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.998283886812936,-2.6676706492165944e-05,1.002196903327011,7579.530231229612,50.530201541530744,finite_extrapolation
46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,40,0.998234560464902,-2.758607439610349e-05,1.002281554987272,7332.741588482192,48.884943923214614,finite_extrapolation
47,5C_67PER_4C_NEWSTRUCTURE,200,150,40,0.998257019716137,-2.081286507491778e-05,1.0013441620425354,9674.024278626654,64.49349519084436,finite_extrapolation
48,5_3C_54PER_4C_NEWSTRUCTURE,200,150,40,0.998195091576545,-2.2712591428739565e-05,1.0015137949376394,8872.33830493918,59.148922032927864,finite_extrapolation
49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,40,0.998410102666179,-2.3013838620094783e-05,1.0015664756314764,8758.490009375333,58.389933395835556,finite_extrapolation
