BatteryId,Policy,NObservedCycle,PredictionTest,SOHEarly20Mean,SOHLate20Mean,SOHLateMinusEarly,IREarly20Mean,IRLate20Mean,IRLateMinusEarly,TemperatureEarly20Mean,TemperatureLate20Mean,TemperatureLateMinusEarly,ChargeTimeEarly20Mean,ChargeTimeLate20Mean,ChargeTimeLateMinusEarly
1,3_6C-80PER_3_6C,200,0,1.0030014008733805,1.000395698396882,-0.002605702476498495,0.016751580649999997,0.016721467850000005,-3.011279999999214e-05,31.690580502515758,31.632831394454616,-0.05774910806114164,13.386138333333335,13.395606166666653,0.009467833333317799
3,3_6C-80PER_3_6C,200,0,0.9963059399193147,0.9953081075516966,-0.000997832367618079,0.016721595925,0.016887811300000003,0.00016621537500000408,31.71483499958966,31.43577026245605,-0.27906473713360924,13.37512366666665,13.37101250000012,-0.004111166666529442
4,80PER_3_6C,200,0,0.998857578500558,0.9696699915340382,-0.029187586966519796,0.016997084350000004,0.01735015065,0.00035306629999999617,32.105828825296854,31.964197436996812,-0.1416313883000413,13.393785416666654,13.66674825000004,0.272962833333386
6,80PER_3_6C,200,0,0.998353591972627,0.9942387200942324,-0.004114871878394544,0.01696590155,0.0172412463,0.0002753447499999999,32.846067792544034,32.41771621449783,-0.42835157804620394,13.366801666666646,13.371041416666674,0.004239750000028408
7,4_8C_80PER_4_8C,200,0,0.9974786200931766,0.9906058600587409,-0.00687276003443571,0.0170929535,0.017241236949999995,0.00014828344999999465,30.16938103118516,30.07024759134442,-0.09913343984074174,10.046318083333315,10.082117666666665,0.035799583333350427
8,4_8C_80PER_4_8C,200,0,0.9984114937586538,0.9831620381014294,-0.015249455657224353,0.017372134249999997,0.017148038400000003,-0.00022409584999999455,30.6828651733398,29.447629039425834,-1.2352361339139648,10.055443166666679,13.087086583333354,3.0316434166666753
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0,0.999224817174572,0.994702706520806,-0.004522110653766065,0.014696640399999999,0.014417500249999998,-0.0002791401500000009,36.35272744230231,38.43668075274912,2.083953310446809,10.043459916666672,10.043006499999787,-0.0004534166668843653
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0,0.9991095264703844,0.9955867488814528,-0.0035227775889316026,0.014968290249999997,0.015022625550000002,5.4335300000004846e-05,36.066826991594,36.87702782993004,0.8102008383360442,10.041785583333366,10.04144783333332,-0.0003377500000460998
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0,0.9992077079790274,0.994155617757618,-0.0050520902214094,0.01523174705,0.015141371950000001,-9.037509999999804e-05,35.20374861152284,36.69250091622964,1.4887523047068,10.0420741666667,10.042108499999939,3.433333323954457e-05
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0,0.9988867832207667,0.9975258866450218,-0.0013608965757448965,0.0154479208,0.015468111000000001,2.0190200000000727e-05,32.69066429514616,33.18735278495417,0.49668848980800817,11.04325716666666,11.042539166666302,-0.0007180000003579323
