Policy,Cycle,SOHEstimate,BootstrapSE,CI95Low,CI95High
3_6C-80PER_3_6C,1,0.998157878429649,0.002399809521738517,0.9947330353935647,1.0015827214657331
3_6C-80PER_3_6C,2,0.9983509826412543,0.0024040245879502764,0.9949201241526806,1.001781841129828
3_6C-80PER_3_6C,3,0.9985375562254356,0.0024082798216166733,0.9951006249601445,1.0019744874907264
3_6C-80PER_3_6C,4,0.9987177072168607,0.002412572755412435,0.9952746493718218,1.0021607650618995
3_6C-80PER_3_6C,5,0.9988915436501975,0.002416900922011969,0.9954423089435773,1.0023407783568177
3_6C-80PER_3_6C,6,0.9990591735601141,0.0024212618540895917,0.9956037152312766,1.0025146318889517
3_6C-80PER_3_6C,7,0.9992207049812782,0.0024256530843197914,0.9957589797907845,1.0026824301717718
3_6C-80PER_3_6C,8,0.9993762459483579,0.00243007214537708,0.9959082141779664,1.0028442777187492
3_6C-80PER_3_6C,9,0.9995259044960211,0.002434516569935995,0.9960515299486876,1.0030002790433545
3_6C-80PER_3_6C,10,0.9996697886589356,0.0024389838906709246,0.996189038658813,1.0031505386590585
3_6C-80PER_3_6C,11,0.9998080064717697,0.0024434716402561263,0.996320851864208,1.003295161079331
3_6C-80PER_3_6C,12,0.9999406659691908,0.0024479773513664768,0.9964470811207377,1.003434250817644
3_6C-80PER_3_6C,13,1.0000678751858674,0.002452498556676173,0.9965678379842672,1.0035679123874675
3_6C-80PER_3_6C,14,1.000189742156467,0.002457032788859854,0.9966832340106616,1.0036962503022722
3_6C-80PER_3_6C,15,1.0003063749156575,0.0024615775805917383,0.9967933807557864,1.0038193690755286
3_6C-80PER_3_6C,16,1.0004178814981073,0.002466130464546418,0.9968983897755065,1.0039373732207078
3_6C-80PER_3_6C,17,1.0005243699384838,0.002470688973398492,0.9969983726256871,1.0040503672512804
3_6C-80PER_3_6C,18,1.0006259482714552,0.002475250639822106,0.9970934408621936,1.0041584556807168
3_6C-80PER_3_6C,19,1.0007227245316894,0.002479812996492063,0.997183706040891,1.004261743022488
3_6C-80PER_3_6C,20,1.0008148067538545,0.002484373576082502,0.9972692797176445,1.0043603337900642
3_6C-80PER_3_6C,21,1.0009023029726183,0.0024889299112682258,0.9973502734483192,1.0044543324969168
3_6C-80PER_3_6C,22,1.0009853212226485,0.002493479534723558,0.9974267987887804,1.0045438436565164
3_6C-80PER_3_6C,23,1.0010639695386132,0.0024980199791227375,0.9974989672948934,1.004628971782333
3_6C-80PER_3_6C,24,1.0011383559551805,0.0025025487771405466,0.997566890522523,1.0047098213878376
3_6C-80PER_3_6C,25,1.001208588507018,0.0025070634614513462,0.9976306800275347,1.0047864969865012
3_6C-80PER_3_6C,26,1.001274775228794,0.0025115615647296374,0.9976904473657936,1.0048591030917944
3_6C-80PER_3_6C,27,1.0013370241551762,0.0025160406196498048,0.9977463040931648,1.0049277442171878
3_6C-80PER_3_6C,28,1.0013954433208327,0.0025204981588862613,0.9977983617655135,1.0049925248761515
3_6C-80PER_3_6C,29,1.0014501407604313,0.002524931715113456,0.9978467319387051,1.005053549582157
3_6C-80PER_3_6C,30,1.0015012245086399,0.0025293388210061545,0.9978915261686045,1.005110922848675
3_6C-80PER_3_6C,31,1.0015488026001265,0.0025337170092385787,0.997932856011077,1.005164749189176
3_6C-80PER_3_6C,32,1.001592983069559,0.0025380638124851565,0.9979708330219875,1.00521513311713
3_6C-80PER_3_6C,33,1.0016338739516053,0.0025423767634203736,0.9980055687572017,1.0052621791460086
3_6C-80PER_3_6C,34,1.0016715832809333,0.0025466533947188794,0.9980371747725845,1.0053059917892824
3_6C-80PER_3_6C,35,1.0017062190922112,0.0025508912390549746,0.9980657626240008,1.0053466755604215
3_6C-80PER_3_6C,36,1.0017378894201068,0.002555087829103128,0.9980914438673164,1.005384334972897
3_6C-80PER_3_6C,37,1.0017667022992878,0.002559240697537819,0.998114330058396,1.0054190745401796
3_6C-80PER_3_6C,38,1.0017927657644226,0.0025633473770334566,0.998134532753105,1.0054509987757398
3_6C-80PER_3_6C,39,1.0018161878501786,0.002567405400264712,0.9981521635073082,1.0054802121930486
3_6C-80PER_3_6C,40,1.001837076591224,0.002571412299905761,0.9981673338768714,1.0055068193055763
3_6C-80PER_3_6C,41,1.0018555400222267,0.0025753656086312856,0.9981801554176594,1.0055309246267938
3_6C-80PER_3_6C,42,1.0018716861778545,0.002579262859115554,0.9981907396855373,1.0055526326701716
3_6C-80PER_3_6C,43,1.0018856230927757,0.0025831015840333343,0.9981991982363705,1.0055720479491808
